category,human_win_rate_all_trials,human_n_all,human_win_rate_majority,human_n_maj_stim,clap_win_rate,rms_win_rate,clap_mean_margin,rms_mean_margin
"Baby cry, infant cry",0.5601597603594608,2003,0.6166666666666667,120,0.95,0.5166666666666667,0.13952626949176192,0.0007438424713747083
Bass drum,0.42280876494023906,2008,0.3333333333333333,120,0.38333333333333336,0.55,-0.005623012408614158,0.0010152600681415682
Computer keyboard,0.26719840478564305,2006,0.06666666666666667,120,0.36666666666666664,0.13333333333333333,-0.04922362652917703,-0.01063609750944541
"Female speech, woman speaking",0.5934673366834171,1990,0.7,120,0.6166666666666667,0.31666666666666665,0.004798053142925103,-0.004916065527543631
Helicopter,0.3698492462311558,1990,0.19166666666666668,120,0.38333333333333336,0.7833333333333333,-0.03474495702733596,0.007177684899575162
"Male speech, man speaking",0.6510234648027958,2003,0.85,120,0.5,0.48333333333333334,-0.01995348259806633,-0.0018307841619543456
Sad music,0.5209790209790209,2002,0.55,120,0.25,0.75,-0.050395363848656415,0.008453627008171257
Telephone bell ringing,0.6151151151151151,1998,0.6916666666666667,120,0.55,0.4666666666666667,0.01561611977716287,-7.4672483193060956e-06
