frame_index,time_seconds,surprise_score
0,0.0,0.0
1,0.02,0.0
2,0.04,0.0
3,0.06,0.0
4,0.08,0.0
5,0.1,0.31894810232740367
6,0.12,0.31894810232740367
7,0.14,0.31894810232740367
8,0.16,0.31894810232740367
9,0.18,0.31894810232740367
10,0.2,0.31894810232740367
11,0.22,0.31894810232740367
12,0.24,0.31894810232740367
13,0.26,0.31894810232740367
14,0.28,0.31894810232740367
15,0.3,0.31894810232740367
16,0.32,0.31894810232740367
17,0.34,0.31894810232740367
18,0.36,0.31894810232740367
19,0.38,0.31894810232740367
20,0.4,0.31894810232740367
21,0.42,0.31894810232740367
22,0.44,0.31894810232740367
23,0.46,0.31894810232740367
24,0.48,0.31894810232740367
25,0.5,0.31894810232740367
26,0.52,0.31894810232740367
27,0.54,0.3144553493704973
28,0.56,0.3146712823075167
29,0.58,0.3146204991777664
30,0.6,0.32033883463367124
31,0.62,0.32043876874866495
32,0.64,0.32043876874866495
33,0.66,0.32043876874866495
34,0.68,0.32043876874866495
35,0.7,0.32043876874866495
36,0.72,0.32043876874866495
37,0.74,0.32043876874866495
38,0.76,0.32043876874866495
39,0.78,0.32043876874866495
40,0.8,0.32043876874866495
41,0.82,0.32043876874866495
42,0.84,0.32043876874866495
43,0.86,0.32043876874866495
44,0.88,0.32043876874866495
45,0.9,0.32043876874866495
46,0.92,0.32043876874866495
47,0.94,0.32043876874866495
48,0.96,0.32043876874866495
49,0.98,0.32043876874866495
50,1.0,0.32043876874866495
51,1.02,0.32043876874866495
52,1.04,0.32043876874866495
53,1.06,0.32043876874866495
54,1.08,0.32036469994216893
55,1.1,0.31482960832739243
56,1.12,0.3149286666972163
57,1.14,0.31630980912772383
58,1.16,0.32099470623341264
59,1.18,0.32099470623341264
60,1.2,0.32099470623341264
61,1.22,0.32099470623341264
62,1.24,0.32099470623341264
63,1.26,0.32099470623341264
64,1.28,0.32099470623341264
65,1.3,0.32099470623341264
66,1.32,0.32099470623341264
67,1.34,0.32099470623341264
68,1.36,0.32099470623341264
69,1.38,0.32099470623341264
70,1.4,0.32099470623341264
71,1.42,0.32099470623341264
72,1.44,0.32099470623341264
73,1.46,0.32099470623341264
74,1.48,0.32099470623341264
75,1.5,0.32099470623341264
76,1.52,0.32099470623341264
77,1.54,0.32099470623341264
78,1.56,0.32099470623341264
79,1.58,0.32099470623341264
80,1.6,0.32099470623341264
81,1.62,0.32099470623341264
82,1.64,0.31575107480589915
83,1.66,0.3157128234705971
84,1.68,0.3153441981020003
85,1.7,0.32119997522111665
86,1.72,0.32140421777104466
87,1.74,0.32140421777104466
88,1.76,0.32140421777104466
89,1.78,0.32140421777104466
90,1.8,0.32140421777104466
91,1.82,0.32140421777104466
92,1.84,0.32140421777104466
93,1.86,0.32140421777104466
94,1.88,0.32140421777104466
95,1.9,0.32140421777104466
96,1.92,0.32140421777104466
97,1.94,0.32140421777104466
98,1.96,0.32140421777104466
99,1.98,0.32140421777104466
100,2.0,0.32140421777104466
101,2.02,0.32140421777104466
102,2.04,0.32140421777104466
103,2.06,0.32140421777104466
104,2.08,0.32140421777104466
105,2.1,0.32140421777104466
106,2.12,0.32140421777104466
107,2.14,0.32140421777104466
108,2.16,0.32140421777104466
109,2.18,0.32133089934795983
110,2.2,0.3159460322266858
111,2.22,0.3161339957204352
112,2.24,0.31656565240381274
113,2.26,0.3206556691685812
114,2.28,0.3206556691685812
115,2.3,0.3206556691685812
116,2.32,0.3206556691685812
117,2.34,0.3206556691685812
118,2.36,0.3206556691685812
119,2.38,0.3206556691685812
120,2.4,0.3206556691685812
121,2.42,0.3206556691685812
122,2.44,0.3206556691685812
123,2.46,0.3206556691685812
124,2.48,0.3206556691685812
125,2.5,0.3206556691685812
126,2.52,0.3206556691685812
127,2.54,0.3206556691685812
128,2.56,0.3206556691685812
129,2.58,0.3206556691685812
130,2.6,0.3206556691685812
131,2.62,0.3206556691685812
132,2.64,0.3206556691685812
133,2.66,0.3206556691685812
134,2.68,0.3206556691685812
135,2.7,0.3206556691685812
136,2.72,0.3206556691685812
137,2.74,0.3176318525434233
138,2.76,0.3175823927767293
139,2.78,0.31643420556286656
140,2.8,0.3209210070335105
141,2.82,0.3211895381910283
142,2.84,0.3211895381910283
143,2.86,0.3211895381910283
144,2.88,0.3211895381910283
145,2.9,0.3211895381910283
146,2.92,0.3211895381910283
147,2.94,0.3211895381910283
148,2.96,0.3211895381910283
149,2.98,0.3211895381910283
150,3.0,0.3211895381910283
151,3.02,0.3211895381910283
152,3.04,0.3211895381910283
153,3.06,0.3211895381910283
154,3.08,0.3211895381910283
155,3.1,0.3211895381910283
156,3.12,0.3211895381910283
157,3.14,0.3211895381910283
158,3.16,0.3211895381910283
159,3.18,0.3211895381910283
160,3.2,0.3211895381910283
161,3.22,0.3211895381910283
162,3.24,0.3211895381910283
163,3.26,0.3211895381910283
164,3.28,0.32110834674765265
165,3.3,0.3179306284489351
166,3.32,0.3176804139327405
167,3.34,0.31718352858475163
168,3.36,0.3206753001158064
169,3.38,0.3206753001158064
170,3.4,0.3206753001158064
171,3.42,0.3206753001158064
172,3.44,0.3206753001158064
173,3.46,0.3206753001158064
174,3.48,0.3206753001158064
175,3.5,0.3206753001158064
176,3.52,0.3206753001158064
177,3.54,0.3206753001158064
178,3.56,0.3206753001158064
179,3.58,0.3206753001158064
180,3.6,0.3206753001158064
181,3.62,0.3206753001158064
182,3.64,0.3206753001158064
183,3.66,0.3206753001158064
184,3.68,0.3206753001158064
185,3.7,0.3206753001158064
186,3.72,0.3206753001158064
187,3.74,0.3206753001158064
188,3.76,0.3206753001158064
189,3.78,0.3206753001158064
190,3.8,0.3206753001158064
191,3.82,0.3206753001158064
192,3.84,0.3194119844466139
193,3.86,0.3191223609506601
194,3.88,0.3174038175243119
195,3.9,0.32119718104490347
196,3.92,0.32147819920698867
197,3.94,0.32147819920698867
198,3.96,0.32147819920698867
199,3.98,0.32147819920698867
200,4.0,0.32147819920698867
201,4.02,0.32147819920698867
202,4.04,0.32147819920698867
203,4.06,0.32147819920698867
204,4.08,0.32147819920698867
205,4.1,0.32147819920698867
206,4.12,0.32147819920698867
207,4.14,0.32147819920698867
208,4.16,0.32147819920698867
209,4.18,0.32147819920698867
210,4.2,0.32147819920698867
211,4.22,0.32147819920698867
212,4.24,0.32147819920698867
213,4.26,0.32147819920698867
214,4.28,0.32147819920698867
215,4.3,0.32147819920698867
216,4.32,0.32147819920698867
217,4.34,0.32147819920698867
218,4.36,0.32147819920698867
219,4.38,0.3213999434553262
220,4.4,0.3195861598326189
221,4.42,0.31892793129012903
222,4.44,0.3182536656535341
