frame_index,time_seconds,prediction_error,entropy,representation_change
0,0.0,0.0,0.0,0.0
1,0.02,0.0,0.0,0.0
2,0.04,0.0,0.0,0.0
3,0.06,0.0,0.0,0.0
4,0.08,0.0,0.0,0.0
5,0.1,0.18008668720722198,0.7546519041061401,161.9485626220703
6,0.12,0.1965382993221283,0.7605411410331726,42.109771728515625
7,0.14,0.20003288984298706,0.7269442677497864,57.22291564941406
8,0.16,0.21626991033554077,0.7409442663192749,72.20181274414062
9,0.18,0.235104039311409,0.7721152901649475,67.87586212158203
10,0.2,0.2943030595779419,0.8872392177581787,82.4947738647461
11,0.22,0.31539028882980347,0.8976351618766785,116.8707046508789
12,0.24,0.34407398104667664,0.9483057260513306,56.18832015991211
13,0.26,0.35939186811447144,0.9713402390480042,55.791099548339844
14,0.28,0.3097934424877167,0.9114185571670532,118.8912582397461
15,0.3,0.36563652753829956,0.9995137453079224,62.053462982177734
16,0.32,0.36314815282821655,1.028566837310791,58.8194465637207
17,0.34,0.4447825849056244,1.1551257371902466,127.77963256835938
18,0.36,0.4262982904911041,1.1318159103393555,108.4590072631836
19,0.38,0.47245728969573975,1.1952182054519653,68.73973083496094
20,0.4,0.429220974445343,1.151085376739502,58.57219314575195
21,0.42,0.5436253547668457,1.4071495532989502,55.541141510009766
22,0.44,0.5334947109222412,1.4476557970046997,55.16508483886719
23,0.46,0.5279234647750854,1.301712155342102,92.3407974243164
24,0.48,0.6243264675140381,1.319318413734436,83.83534240722656
25,0.5,0.6819186210632324,1.3151509761810303,113.17488861083984
26,0.52,0.7335759401321411,1.23920738697052,77.46822357177734
27,0.54,0.7435750365257263,1.2327722311019897,103.92859649658203
28,0.56,0.7380863428115845,1.2423419952392578,64.81114196777344
29,0.58,0.6475253105163574,1.2574479579925537,120.38890838623047
30,0.6,0.5365189909934998,1.166163682937622,58.284873962402344
31,0.62,0.5555561780929565,1.240922212600708,100.74058532714844
32,0.64,0.609128475189209,1.209404706954956,61.93276596069336
33,0.66,0.6625893115997314,1.2147740125656128,67.73809814453125
34,0.68,0.811842679977417,1.3354523181915283,57.316036224365234
35,0.7,0.7325897216796875,1.4472882747650146,62.17021560668945
36,0.72,0.6701823472976685,1.5247347354888916,81.20674896240234
37,0.74,0.699295163154602,1.4656764268875122,57.44441223144531
38,0.76,0.8199427127838135,1.4036580324172974,79.08292388916016
39,0.78,0.6913249492645264,1.3448526859283447,104.94820404052734
40,0.8,0.7583346366882324,1.3312163352966309,64.69954681396484
41,0.82,0.8046422004699707,1.3310978412628174,113.36405944824219
42,0.84,0.8013714551925659,1.2949740886688232,58.98772430419922
43,0.86,0.7543088793754578,1.2602243423461914,91.18152618408203
44,0.88,0.7682798504829407,1.2553443908691406,71.54463958740234
45,0.9,0.7551878690719604,1.289318323135376,94.41661071777344
46,0.92,0.8014822006225586,1.2638766765594482,54.8095588684082
47,0.94,0.7111356854438782,1.2051186561584473,143.1457977294922
48,0.96,0.7416106462478638,1.2160221338272095,65.75006866455078
49,0.98,0.6978179812431335,1.2138921022415161,162.3860321044922
50,1.0,0.7445178627967834,1.2747108936309814,215.66502380371094
51,1.02,0.6869781017303467,1.2530884742736816,72.66434478759766
52,1.04,0.6584552526473999,1.2421797513961792,75.72908782958984
53,1.06,0.6145756244659424,1.2166494131088257,89.19483947753906
54,1.08,0.5897026062011719,1.217131495475769,78.92279052734375
55,1.1,0.5473087430000305,1.2234034538269043,101.93877410888672
56,1.12,0.49476075172424316,1.2239938974380493,52.42507553100586
57,1.14,0.5084737539291382,1.2155333757400513,57.7685546875
58,1.16,0.5039299726486206,1.1977604627609253,82.53179168701172
59,1.18,0.4890878200531006,1.1935454607009888,90.11029052734375
60,1.2,0.4929124712944031,1.17373788356781,55.64131546020508
61,1.22,0.4537314474582672,1.158886194229126,71.19002532958984
62,1.24,0.4626019597053528,1.2139756679534912,104.81297302246094
63,1.26,0.43561893701553345,1.2020764350891113,41.74544143676758
64,1.28,0.39865049719810486,1.2122752666473389,76.82057189941406
65,1.3,0.4123102128505707,1.2168184518814087,68.82176208496094
66,1.32,0.4213409125804901,1.2155696153640747,88.08354949951172
67,1.34,0.408689022064209,1.1929986476898193,79.26222229003906
68,1.36,0.3784865438938141,1.1614503860473633,118.25008392333984
69,1.38,0.3633752167224884,1.1303269863128662,63.049530029296875
70,1.4,0.3685767948627472,1.1457722187042236,87.39801788330078
71,1.42,0.37912386655807495,1.1735432147979736,123.29376983642578
72,1.44,0.38657131791114807,1.1961805820465088,91.57121276855469
73,1.46,0.36470451951026917,1.1369154453277588,55.25679397583008
74,1.48,0.3697724938392639,1.1554369926452637,76.50743865966797
75,1.5,0.35883310437202454,1.13141930103302,87.4453125
76,1.52,0.3764282166957855,1.1794389486312866,65.55425262451172
77,1.54,0.3566579222679138,1.120797872543335,113.38938903808594
78,1.56,0.3539781868457794,1.1432607173919678,107.6809310913086
79,1.58,0.35594508051872253,1.1504371166229248,53.1226806640625
80,1.6,0.35136792063713074,1.1326570510864258,82.3381118774414
81,1.62,0.34307295083999634,1.1343523263931274,85.64627838134766
82,1.64,0.3656628429889679,1.1855599880218506,105.72634887695312
83,1.66,0.37769925594329834,1.2391588687896729,86.5159912109375
84,1.68,0.3807009756565094,1.23025643825531,51.2114372253418
85,1.7,0.37925267219543457,1.2388780117034912,38.579429626464844
86,1.72,0.3990769386291504,1.2752832174301147,51.84459686279297
87,1.74,0.3903791010379791,1.2674131393432617,116.59066772460938
88,1.76,0.3978915512561798,1.2795302867889404,111.6773452758789
89,1.78,0.40924930572509766,1.2936272621154785,86.19441223144531
90,1.8,0.3952392339706421,1.2371584177017212,82.23587036132812
91,1.82,0.4095822274684906,1.3061577081680298,69.60992431640625
92,1.84,0.3810982406139374,1.242517352104187,63.29173278808594
93,1.86,0.3906811475753784,1.2732845544815063,75.47471618652344
94,1.88,0.3870728611946106,1.2738515138626099,81.13443756103516
95,1.9,0.37201201915740967,1.2388789653778076,51.97203063964844
96,1.92,0.3810505270957947,1.2671771049499512,62.608543395996094
97,1.94,0.3794153928756714,1.2649097442626953,121.4199447631836
98,1.96,0.38411325216293335,1.2565628290176392,121.41966247558594
99,1.98,0.38140133023262024,1.290539026260376,75.23136901855469
100,2.0,0.43329620361328125,1.3178131580352783,204.8000030517578
101,2.02,0.4786946475505829,1.3106566667556763,85.85901641845703
102,2.04,0.5091306567192078,1.3297631740570068,62.12542724609375
103,2.06,0.5326069593429565,1.333280086517334,91.6771011352539
104,2.08,0.540423572063446,1.3301044702529907,82.40750122070312
105,2.1,0.5490776300430298,1.3337156772613525,44.30225372314453
106,2.12,0.5761033296585083,1.3193577527999878,118.34069061279297
107,2.14,0.6167558431625366,1.2889986038208008,98.34896087646484
108,2.16,0.6350037455558777,1.268009901046753,85.54595947265625
109,2.18,0.5978888869285583,1.1620466709136963,69.93116760253906
110,2.2,0.5896000266075134,1.1623014211654663,87.60259246826172
111,2.22,0.5946311950683594,1.1802128553390503,57.07476043701172
112,2.24,0.5984919667243958,1.1453707218170166,66.35490417480469
113,2.26,0.5506594181060791,1.1508715152740479,104.96807861328125
114,2.28,0.5260791182518005,1.1532292366027832,111.61653137207031
115,2.3,0.5148874521255493,1.17508065700531,61.021568298339844
116,2.32,0.5338083505630493,1.2042864561080933,65.16471862792969
117,2.34,0.5037198066711426,1.1956417560577393,44.81820297241211
118,2.36,0.6019852757453918,1.1868129968643188,224.64056396484375
119,2.38,0.6131263375282288,1.1480634212493896,178.6757354736328
120,2.4,0.6275733709335327,1.1866633892059326,103.64228820800781
121,2.42,0.5462197661399841,1.1742948293685913,70.90640258789062
122,2.44,0.5791401863098145,1.182044506072998,65.84764862060547
123,2.46,0.6908106803894043,1.2408488988876343,175.69464111328125
124,2.48,0.6866204738616943,1.2033895254135132,61.604740142822266
125,2.5,0.6843416690826416,1.2057300806045532,88.80376434326172
126,2.52,0.6555051207542419,1.223206877708435,79.15495300292969
127,2.54,0.5889102220535278,1.2295989990234375,68.53785705566406
128,2.56,0.6030917167663574,1.1574454307556152,142.1930389404297
129,2.58,0.5980165600776672,1.180208683013916,98.59717559814453
130,2.6,0.5961688160896301,1.1818488836288452,53.81422805786133
131,2.62,0.6314162611961365,1.1778110265731812,90.67345428466797
132,2.64,0.6234567761421204,1.1585392951965332,42.65595626831055
133,2.66,0.6346429586410522,1.1687580347061157,79.76001739501953
134,2.68,0.6736534237861633,1.1662336587905884,93.76764678955078
135,2.7,0.6303107142448425,1.1621997356414795,96.86474609375
136,2.72,0.6495194435119629,1.1626044511795044,102.17288970947266
137,2.74,0.6301848888397217,1.1729705333709717,64.89305114746094
